route,travel_seconds,unloading_seconds,total_time_seconds,total_time_minutes,base_minutes_billed,overtime_minutes_billed,base_cost,overtime_cost,total_cost
Centre Port->Woolworths Kilbirnie->Centre Port,1675.02,2700.0,4375.02,72.917,72.917,0.0,243.05666666666667,0.0,243.05666666666667
Centre Port->Woolworths Wainuiomata->Centre Port,3546.99,3600.0,7146.99,119.1165,119.1165,0.0,397.055,0.0,397.055
Centre Port->FreshChoice Woburn->Centre Port,2333.09,1800.0,4133.09,68.88483333333333,68.88483333333333,0.0,229.6161111111111,0.0,229.6161111111111
Centre Port->Woolworths Petone->Centre Port,1583.5500000000002,2700.0,4283.55,71.3925,71.3925,0.0,237.975,0.0,237.975
Centre Port->FreshChoice Cuba Street->Centre Port,695.6800000000001,1800.0,2495.6800000000003,41.59466666666667,41.59466666666667,0.0,138.6488888888889,0.0,138.6488888888889
Centre Port->Woolworths Karori->Centre Port,1648.31,2700.0,4348.3099999999995,72.47183333333332,72.47183333333332,0.0,241.57277777777776,0.0,241.57277777777776
Centre Port->Woolworths Porirua->Centre Port,3017.52,3600.0,6617.52,110.292,110.292,0.0,367.64000000000004,0.0,367.64000000000004
Centre Port->Woolworths Aotea->Centre Port,3086.81,2700.0,5786.8099999999995,96.44683333333333,96.44683333333333,0.0,321.4894444444445,0.0,321.4894444444445
Centre Port->Woolworths Upper Hutt->Centre Port,4462.17,2700.0,7162.17,119.3695,119.3695,0.0,397.89833333333337,0.0,397.89833333333337
Centre Port->Woolworths Johnsonville Mall->Centre Port,1423.3400000000001,2700.0,4123.34,68.72233333333334,68.72233333333334,0.0,229.07444444444448,0.0,229.07444444444448
Centre Port->Woolworths Newtown->Centre Port,1120.6599999999999,2700.0,3820.66,63.67766666666667,63.67766666666667,0.0,212.2588888888889,0.0,212.2588888888889
Centre Port->Metro Cable Car Lane->Centre Port,684.39,1800.0,2484.39,41.4065,41.4065,0.0,138.02166666666668,0.0,138.02166666666668
Centre Port->Woolworths Lower Hutt->Centre Port,2102.28,2700.0,4802.280000000001,80.03800000000001,80.03800000000001,0.0,266.7933333333334,0.0,266.7933333333334
Centre Port->Woolworths Queensgate->Centre Port,2302.15,2700.0,5002.15,83.36916666666666,83.36916666666666,0.0,277.8972222222222,0.0,277.8972222222222
Centre Port->Woolworths Tawa->Centre Port,2494.12,1800.0,4294.12,71.56866666666666,71.56866666666666,0.0,238.5622222222222,0.0,238.5622222222222
Centre Port->Woolworths Crofton Downs->Centre Port,1397.25,3600.0,4997.25,83.2875,83.2875,0.0,277.625,0.0,277.625
Centre Port->Woolworths Johnsonville->Centre Port,1362.23,3600.0,4962.23,82.70383333333332,82.70383333333332,0.0,275.6794444444444,0.0,275.6794444444444
Centre Port->Woolworths Maidstone->Centre Port,4466.3,3600.0,8066.3,134.43833333333333,134.43833333333333,0.0,448.1277777777778,0.0,448.1277777777778
Centre Port->FreshChoice Cannons Creek->Centre Port,3083.74,2700.0,5783.74,96.39566666666666,96.39566666666666,0.0,321.31888888888886,0.0,321.31888888888886
Centre Port->FreshChoice Woburn->FreshChoice Cuba Street->Centre Port,2719.0299999999997,3600.0,6319.03,105.31716666666667,105.31716666666667,0.0,351.0572222222222,0.0,351.0572222222222
Centre Port->FreshChoice Woburn->Metro Cable Car Lane->Centre Port,2722.53,3600.0,6322.530000000001,105.37550000000002,105.37550000000002,0.0,351.2516666666667,0.0,351.2516666666667
Centre Port->FreshChoice Woburn->Woolworths Tawa->Centre Port,4166.09,3600.0,7766.09,129.43483333333333,129.43483333333333,0.0,431.44944444444445,0.0,431.44944444444445
Centre Port->FreshChoice Cuba Street->FreshChoice Woburn->Centre Port,2702.73,3600.0,6302.73,105.04549999999999,105.04549999999999,0.0,350.15166666666664,0.0,350.15166666666664
Centre Port->FreshChoice Cuba Street->Metro Cable Car Lane->Centre Port,789.12,3600.0,4389.12,73.152,73.152,0.0,243.84,0.0,243.84
Centre Port->FreshChoice Cuba Street->Woolworths Tawa->Centre Port,2863.76,3600.0,6463.76,107.72933333333334,107.72933333333334,0.0,359.0977777777778,0.0,359.0977777777778
Centre Port->Metro Cable Car Lane->FreshChoice Woburn->Centre Port,2691.43,3600.0,6291.43,104.85716666666667,104.85716666666667,0.0,349.5238888888889,0.0,349.5238888888889
Centre Port->Metro Cable Car Lane->FreshChoice Cuba Street->Centre Port,725.4,3600.0,4325.4,72.08999999999999,72.08999999999999,0.0,240.29999999999998,0.0,240.29999999999998
Centre Port->Metro Cable Car Lane->Woolworths Tawa->Centre Port,2852.46,3600.0,6452.46,107.541,107.541,0.0,358.47,0.0,358.47
Centre Port->Woolworths Tawa->FreshChoice Woburn->Centre Port,4087.17,3600.0,7687.17,128.1195,128.1195,0.0,427.065,0.0,427.065
Centre Port->Woolworths Tawa->FreshChoice Cuba Street->Centre Port,2880.0599999999995,3600.0,6480.0599999999995,108.00099999999999,108.00099999999999,0.0,360.00333333333333,0.0,360.00333333333333
Centre Port->Woolworths Tawa->Metro Cable Car Lane->Centre Port,2883.56,3600.0,6483.5599999999995,108.05933333333333,108.05933333333333,0.0,360.1977777777778,0.0,360.1977777777778
